"region","kön","utbildningsnivå","bakgrundsvariabel","år","Andel förvärvsarbetande (ny definition från och med 2019)"
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2011",58.2
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2012",59.3
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2013",59.5
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2014",61.2
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2015",63.4
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2016",65.2
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2017",66.4
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2018",67.6
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2019",67.9
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2020",64.7
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2021",67.5
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2010",69.5
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2011",70.6
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2012",71.5
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2013",72
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2014",72.8
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2015",74.1
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2016",75.2
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2017",75.5
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2018",76.1
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2019",75.9
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2020",74
"Stockholms län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2021",75.4
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2010",37.9
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2011",45.8
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2012",47.4
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2013",49.6
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2014",47.9
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2015",46.9
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2016",45.5
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2017",46.8
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2018",52.7
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2019",59.1
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2020",65.6
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2021",65.5
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2010",52.5
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2011",54.4
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2012",58.3
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2013",61.7
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2014",64.4
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2015",65.8
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2016",66.8
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2017",66.4
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2018",65.5
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2019",67
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2020",68.3
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2021",73.8
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2010",64.9
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2011",64.4
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2012",65.5
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2013",66.1
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2014",67.5
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2015",69.3
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2016",71
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2017",72.2
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2018",72.9
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2019",71.7
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2020",68.6
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2021",71.7
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2010",70.2
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2011",71.6
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2012",72.3
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2013",73
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2014",73.8
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2015",75.2
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2016",76.1
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2017",76.5
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2018",77
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2019",76.3
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2020",74.1
"Stockholms län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2021",75.5
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2010",22
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2011",25.9
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2012",27
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2013",27.5
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2014",28
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2015",29.1
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2016",29.8
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2017",30.1
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2018",32.9
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2019",39.2
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2020",40.8
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2021",42.1
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2010",36.7
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2011",37.7
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2012",40.3
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2013",42.8
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2014",46.2
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2015",47
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2016",48.1
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2017",49
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2018",50.7
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2019",52.8
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2020",51.9
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2021",55.8
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2010",52.4
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2011",52
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2012",53
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2013",52.6
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2014",54.6
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2015",56.9
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2016",59.1
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2017",60.2
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2018",61.8
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2019",63.7
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2020",60.2
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2021",62.4
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2010",68.9
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2011",69.7
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2012",70.7
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2013",71
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2014",71.9
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2015",73.1
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2016",74.3
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2017",74.6
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2018",75.1
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2019",75.5
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2020",73.8
"Stockholms län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2021",75.4
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2010",18
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2011",23.6
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2012",28.8
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2013",29.8
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2014",26.2
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2015",24
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2016",23.5
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2017",24.6
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2018",29.1
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2019",35.4
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2020",36.7
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2021",39
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2010",32.8
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2011",32.6
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2012",35.7
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2013",39.9
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2014",47.3
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2015",49
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2016",46
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2017",46.2
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2018",46
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2019",49.9
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2020",48.9
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2021",55.2
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2010",52.2
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2011",50.9
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2012",51.1
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2013",49.7
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2014",53.4
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2015",58.3
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2016",61.7
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2017",62.6
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2018",62.4
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2019",63.5
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2020",58.2
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2021",61
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2010",67.8
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2011",69.6
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2012",70.6
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2013",71.1
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2014",72.1
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2015",73
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2016",74.3
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2017",74.9
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2018",75.5
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2019",75.8
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2020",74.2
"Uppsala län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2021",75.6
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2010",23.4
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2011",32.3
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2012",38.4
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2013",39.2
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2014",32.5
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2015",30
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2016",28.3
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2017",30.3
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2018",35.9
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2019",42.1
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2020",44.1
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 0-1 år","2021",47.9
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2010",37.4
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2011",39.9
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2012",43.4
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2013",48.7
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2014",56.8
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2015",58.8
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2016",53.8
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2017",54.8
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2018",54.2
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2019",57.2
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2020",55.4
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 2-3 år","2021",63
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2010",56.7
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2011",53.7
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2012",54.9
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2013",54.2
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2014",58.3
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2015",65
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2016",68.5
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2017",70
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2018",68.8
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2019",68.2
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2020",62.9
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 4-9 år","2021",66.2
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2010",68.5
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2011",70.6
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2012",71.5
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2013",72.2
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2014",73
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2015",73.6
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2016",74.6
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2017",75.1
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2018",75.7
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2019",75.7
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2020",74
"Uppsala län","män","samtliga utbildningsnivåer","vistelsetid 10- år","2021",75.6
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2010",12.2
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2011",14
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2012",19.2
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2013",20.6
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2014",19.5
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2015",17.5
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2016",18.3
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2017",18.2
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2018",22
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2019",27.8
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2020",28.3
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2021",30.1
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2010",28
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2011",25.2
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2012",27.5
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2013",30.4
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2014",37.6
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2015",39.3
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2016",37.6
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2017",36.7
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2018",36.6
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2019",41.3
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2020",41.4
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 2-3 år","2021",46.1
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2010",48.1
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2011",48.3
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2012",47.5
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2013",45.3
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2014",48.3
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2015",51.3
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2016",54.8
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2017",54.9
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2018",55.5
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2019",58.3
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2020",52.8
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 4-9 år","2021",55
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2010",67.2
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2011",68.6
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2012",69.7
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2013",70
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2014",71.3
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2015",72.5
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2016",74
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2017",74.7
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2018",75.3
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2019",75.9
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2020",74.4
"Uppsala län","kvinnor","samtliga utbildningsnivåer","vistelsetid 10- år","2021",75.6
"Södermanlands län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2010",14.5
"Södermanlands län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2011",17.4
"Södermanlands län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2012",17.6
"Södermanlands län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2013",18.7
"Södermanlands län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2014",15.6
"Södermanlands län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2015",16
"Södermanlands län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2016",16.4
"Södermanlands län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2017",24.3
"Södermanlands län","män och kvinnor","samtliga utbildningsnivåer","vistelsetid 0-1 år","2018",26.6
