"region","trångboddhet","födelseregion","ålder","kön","år","Samtliga i populationen"
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2014",758
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2015",856
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2016",976
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2017",1063
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2018",1170
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2019",1152
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2020",1070
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","kvinnor","2021",1085
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2012",621
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2013",704
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2014",831
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2015",898
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2016",1045
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2017",1130
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2018",1187
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2019",1148
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2020",1074
"Dalarnas län","trångbodda enligt norm 2","totalt","0-4 år","män","2021",1108
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","totalt","2012",769
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","totalt","2013",963
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","totalt","2014",1085
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","totalt","2015",1213
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","totalt","2016",1401
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","totalt","2017",1639
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","totalt","2018",1747
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","totalt","2019",1798
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","totalt","2020",1723
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","totalt","2021",1820
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","kvinnor","2012",364
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","kvinnor","2013",460
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","kvinnor","2014",529
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","kvinnor","2015",606
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","kvinnor","2016",716
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","kvinnor","2017",814
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","kvinnor","2018",865
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","kvinnor","2019",895
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","kvinnor","2020",840
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","kvinnor","2021",892
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","män","2012",405
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","män","2013",503
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","män","2014",556
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","män","2015",607
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","män","2016",685
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","män","2017",825
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","män","2018",882
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","män","2019",903
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","män","2020",883
"Dalarnas län","trångbodda enligt norm 2","totalt","5-9 år","män","2021",928
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","totalt","2012",1379
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","totalt","2013",1723
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","totalt","2014",1993
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","totalt","2015",2222
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","totalt","2016",2559
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","totalt","2017",2903
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","totalt","2018",3113
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","totalt","2019",3202
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","totalt","2020",3067
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","totalt","2021",3255
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","kvinnor","2012",670
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","kvinnor","2013",838
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","kvinnor","2014",983
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","kvinnor","2015",1102
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","kvinnor","2016",1292
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","kvinnor","2017",1441
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","kvinnor","2018",1547
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","kvinnor","2019",1605
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","kvinnor","2020",1518
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","kvinnor","2021",1625
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","män","2012",709
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","män","2013",885
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","män","2014",1010
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","män","2015",1120
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","män","2016",1267
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","män","2017",1462
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","män","2018",1566
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","män","2019",1597
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","män","2020",1549
"Dalarnas län","trångbodda enligt norm 2","totalt","5-14 år","män","2021",1630
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","totalt","2012",610
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","totalt","2013",760
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","totalt","2014",908
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","totalt","2015",1009
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","totalt","2016",1158
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","totalt","2017",1264
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","totalt","2018",1366
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","totalt","2019",1404
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","totalt","2020",1344
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","totalt","2021",1435
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","kvinnor","2012",306
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","kvinnor","2013",378
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","kvinnor","2014",454
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","kvinnor","2015",496
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","kvinnor","2016",576
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","kvinnor","2017",627
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","kvinnor","2018",682
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","kvinnor","2019",710
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","kvinnor","2020",678
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","kvinnor","2021",733
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","män","2012",304
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","män","2013",382
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","män","2014",454
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","män","2015",513
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","män","2016",582
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","män","2017",637
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","män","2018",684
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","män","2019",694
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","män","2020",666
"Dalarnas län","trångbodda enligt norm 2","totalt","10-14 år","män","2021",702
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","totalt","2012",660
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","totalt","2013",772
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","totalt","2014",798
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","totalt","2015",901
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","totalt","2016",971
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","totalt","2017",1014
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","totalt","2018",1051
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","totalt","2019",1150
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","totalt","2020",1047
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","totalt","2021",1142
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","kvinnor","2012",360
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","kvinnor","2013",411
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","kvinnor","2014",398
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","kvinnor","2015",446
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","kvinnor","2016",465
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","kvinnor","2017",500
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","kvinnor","2018",508
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","kvinnor","2019",528
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","kvinnor","2020",513
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","kvinnor","2021",570
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","män","2012",300
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","män","2013",361
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","män","2014",400
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","män","2015",455
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","män","2016",506
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","män","2017",514
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","män","2018",543
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","män","2019",622
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","män","2020",534
"Dalarnas län","trångbodda enligt norm 2","totalt","15-19 år","män","2021",572
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","totalt","2012",1932
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","totalt","2013",2018
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","totalt","2014",2123
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","totalt","2015",2300
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","totalt","2016",2456
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","totalt","2017",2507
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","totalt","2018",2473
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","totalt","2019",2582
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","totalt","2020",2355
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","totalt","2021",2514
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","kvinnor","2012",1013
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","kvinnor","2013",1086
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","kvinnor","2014",1089
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","kvinnor","2015",1140
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","kvinnor","2016",1193
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","kvinnor","2017",1241
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","kvinnor","2018",1203
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","kvinnor","2019",1215
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","kvinnor","2020",1131
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","kvinnor","2021",1173
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","män","2012",919
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","män","2013",932
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","män","2014",1034
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","män","2015",1160
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","män","2016",1263
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","män","2017",1266
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","män","2018",1270
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","män","2019",1367
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","män","2020",1224
"Dalarnas län","trångbodda enligt norm 2","totalt","15-24 år","män","2021",1341
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","totalt","2012",1272
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","totalt","2013",1246
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","totalt","2014",1325
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","totalt","2015",1399
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","totalt","2016",1485
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","totalt","2017",1493
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","totalt","2018",1422
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","totalt","2019",1432
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","totalt","2020",1308
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","totalt","2021",1372
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","kvinnor","2012",653
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","kvinnor","2013",675
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","kvinnor","2014",691
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","kvinnor","2015",694
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","kvinnor","2016",728
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","kvinnor","2017",741
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","kvinnor","2018",695
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","kvinnor","2019",687
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","kvinnor","2020",618
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","kvinnor","2021",603
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","män","2012",619
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","män","2013",571
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","män","2014",634
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","män","2015",705
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","män","2016",757
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","män","2017",752
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","män","2018",727
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","män","2019",745
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","män","2020",690
"Dalarnas län","trångbodda enligt norm 2","totalt","20-24 år","män","2021",769
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","totalt","2012",1036
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","totalt","2013",1134
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","totalt","2014",1254
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","totalt","2015",1399
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","totalt","2016",1575
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","totalt","2017",1627
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","totalt","2018",1584
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","totalt","2019",1533
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","totalt","2020",1405
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","totalt","2021",1376
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","kvinnor","2012",472
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","kvinnor","2013",534
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","kvinnor","2014",622
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","kvinnor","2015",716
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","kvinnor","2016",786
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","kvinnor","2017",819
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","kvinnor","2018",806
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","kvinnor","2019",769
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","kvinnor","2020",692
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","kvinnor","2021",697
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","män","2012",564
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","män","2013",600
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","män","2014",632
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","män","2015",683
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","män","2016",789
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","män","2017",808
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","män","2018",778
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","män","2019",764
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","män","2020",713
"Dalarnas län","trångbodda enligt norm 2","totalt","25-29 år","män","2021",679
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","totalt","2012",1791
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","totalt","2013",1958
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","totalt","2014",2220
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","totalt","2015",2459
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","totalt","2016",2901
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","totalt","2017",3067
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","totalt","2018",3062
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","totalt","2019",2928
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","totalt","2020",2789
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","totalt","2021",2829
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","kvinnor","2012",829
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","kvinnor","2013",923
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","kvinnor","2014",1089
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","kvinnor","2015",1209
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","kvinnor","2016",1425
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","kvinnor","2017",1510
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","kvinnor","2018",1552
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","kvinnor","2019",1491
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","kvinnor","2020",1416
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","kvinnor","2021",1449
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","män","2012",962
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","män","2013",1035
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","män","2014",1131
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","män","2015",1250
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","män","2016",1476
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","män","2017",1557
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","män","2018",1510
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","män","2019",1437
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","män","2020",1373
"Dalarnas län","trångbodda enligt norm 2","totalt","25-34 år","män","2021",1380
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","totalt","2012",755
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","totalt","2013",824
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","totalt","2014",966
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","totalt","2015",1060
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","totalt","2016",1326
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","totalt","2017",1440
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","totalt","2018",1478
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","totalt","2019",1395
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","totalt","2020",1384
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","totalt","2021",1453
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","kvinnor","2012",357
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","kvinnor","2013",389
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","kvinnor","2014",467
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","kvinnor","2015",493
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","kvinnor","2016",639
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","kvinnor","2017",691
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","kvinnor","2018",746
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","kvinnor","2019",722
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","kvinnor","2020",724
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","kvinnor","2021",752
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","män","2012",398
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","män","2013",435
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","män","2014",499
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","män","2015",567
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","män","2016",687
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","män","2017",749
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","män","2018",732
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","män","2019",673
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","män","2020",660
"Dalarnas län","trångbodda enligt norm 2","totalt","30-34 år","män","2021",701
"Dalarnas län","trångbodda enligt norm 2","totalt","35-39 år","totalt","2012",560
"Dalarnas län","trångbodda enligt norm 2","totalt","35-39 år","totalt","2013",612
"Dalarnas län","trångbodda enligt norm 2","totalt","35-39 år","totalt","2014",663
"Dalarnas län","trångbodda enligt norm 2","totalt","35-39 år","totalt","2015",760
"Dalarnas län","trångbodda enligt norm 2","totalt","35-39 år","totalt","2016",845
